"Source","Target","weight","jaccard","ra","pa","cn","salton","hubprom","hubdep","sorensen","lhn","AdamAdar","cosine_similarity","pearson_similarity"
1,25,4,0.598,1.05572692997212,6804,63,0.763762615825973,0.75,0.777777777777778,0.732919254658385,0.00925925925925926,15.4376365917916,0.55438,0.45917
1,26,10,0.673,1.24317083911207,7728,72,0.819028359347922,0.782608695652174,0.857142857142857,0.790697674418605,0.0093167701863354,17.7484259575345,0.57987,0.47436
1,27,1,0.606,1.01389307994611,6468,62,0.77091533351809,0.738095238095238,0.805194805194805,0.738853503184713,0.0095856524427953,15.1340736058559,0.54663,0.45013
1,28,1,0.676,1.21454018929292,7476,71,0.821152278655124,0.797752808988764,0.845238095238095,0.792899408284024,0.00949705724986624,17.4647845088687,0.55756,0.45019
1,29,13,0.574,0.919313809866499,5544,56,0.752101433090355,0.666666666666667,0.848484848484849,0.712328767123288,0.0101010101010101,13.6927709302787,0.57268,0.4762
1,3,30,0.659,1.09831357875687,5796,62,0.814380753113737,0.738095238095238,0.898550724637681,0.778523489932886,0.0106970324361629,15.3996636356668,0.72606,0.3865
1,30,6,0.745,1.25094060827371,6888,72,0.867532846881384,0.857142857142857,0.878048780487805,0.839506172839506,0.0104529616724739,17.7672505743723,0.55366,0.45761
1,31,3,0.663,1.23962626840146,7644,71,0.812078494297228,0.78021978021978,0.845238095238095,0.783625730994152,0.00928833071690215,17.5532518716167,0.57107,0.45172
1,33,1,0.463,0.652055365479799,4788,46,0.664784309968492,0.547619047619048,0.807017543859649,0.613138686131387,0.00960735171261487,10.9722628098274,0.5656,0.46393
1,34,2,0.473,0.768051685950755,4452,44,0.659439714263199,0.523809523809524,0.830188679245283,0.622222222222222,0.00988319856244385,10.8186453821828,0.55658,0.46314
1,35,6,0.449,0.660482728642859,3780,40,0.650600048632355,0.476190476190476,0.888888888888889,0.598425196850394,0.0105820105820106,9.74834699953609,0.56824,0.47088
1,36,1,0.564,0.949571911579656,6384,59,0.738423607124594,0.702380952380952,0.776315789473684,0.705128205128205,0.00924185463659148,14.3492967842184,0.55863,0.46494
1,37,4,0.337,0.491525399237766,3276,31,0.541613832306324,0.369047619047619,0.794871794871795,0.479338842975207,0.00946275946275946,7.50475947253011,0.55256,0.46005
1,38,2,0.478,0.683956779485619,4284,45,0.687523872771158,0.535714285714286,0.882352941176471,0.625954198473282,0.0105042016806723,10.9039179316347,0.55326,0.4607
1,39,13,0.667,1.09851537302975,6132,64,0.817295110782075,0.761904761904762,0.876712328767123,0.784313725490196,0.0104370515329419,15.7737634131453,0.59558,0.49147
1,4,24,0.688,1.09950467105325,6300,66,0.8315218406203,0.785714285714286,0.88,0.8,0.0104761904761905,16.1701086559537,0.70887,0.58643
1,41,2,0.418,0.534581179229962,3948,40,0.63660701407923,0.476190476190476,0.851063829787234,0.566929133858268,0.0101317122593718,9.48637684081975,0.55738,0.45815
1,42,4,0.478,0.685092796730706,4284,45,0.687523872771158,0.535714285714286,0.882352941176471,0.625954198473282,0.0105042016806723,10.8885860055057,0.5929,0.48408
1,43,4,0.455,0.600461592452583,3864,42,0.675663924692176,0.5,0.91304347826087,0.603174603174603,0.0108695652173913,10.0717580782951,0.55783,0.44746
1,45,2,0.466,0.762441339545242,5796,50,0.656758671865917,0.595238095238095,0.72463768115942,0.61744966442953,0.00862663906142167,12.074603522977,0.5615,0.46347
1,47,4,0.433,0.641037198451624,3948,41,0.652522189431211,0.488095238095238,0.872340425531915,0.582677165354331,0.0103850050658561,10.0117271802189,0.54752,0.44979
1,48,6,0.235,0.25419141597129,1932,22,0.500517330712619,0.261904761904762,0.956521739130435,0.349514563106796,0.0113871635610766,5.29367838334127,0.58073,0.47879
1,49,2,0.554,0.923586595048896,6300,58,0.730731314484506,0.69047619047619,0.773333333333333,0.696774193548387,0.00920634920634921,14.0840147402615,0.55136,0.45691
1,5,5,0.567,0.833779496980907,4956,53,0.752853061388455,0.630952380952381,0.898305084745763,0.705035971223022,0.0106941081517353,12.8714970625639,0.55558,0.45097
1,50,3,0.329,0.389139506111215,2604,30,0.587896351252215,0.357142857142857,0.967741935483871,0.468468468468469,0.0115207373271889,7.19279953794641,0.56303,0.46336
1,51,1,0.453,0.723291053036317,4704,45,0.65611332395978,0.535714285714286,0.803571428571429,0.602941176470588,0.00956632653061225,10.9940864666657,0.54905,0.45035
1,53,3,0.553,0.951998654289281,6552,59,0.728895161383416,0.702380952380952,0.756410256410256,0.69620253164557,0.009004884004884,14.3549452695381,0.58455,0.48315
1,54,2,0.525,0.883571210280763,5628,52,0.693148518367146,0.619047619047619,0.776119402985075,0.671140939597315,0.00923951670220327,12.7385313070215,0.5515,0.45749
1,55,1,0.505,0.870798175873102,5880,53,0.691173703518424,0.630952380952381,0.757142857142857,0.653333333333333,0.00901360544217687,12.9698166359953,0.54745,0.45551
1,6,8,0.737,1.26195102322506,6972,72,0.862290908577547,0.857142857142857,0.867469879518072,0.834355828220859,0.0103270223752151,17.8044256384874,0.66844,0.44835
1,60,4,0.511,0.702856869381914,4284,47,0.718080489338766,0.55952380952381,0.92156862745098,0.656488549618321,0.0109710550887021,11.3539270316225,0.55751,0.44775
1,61,1,0.438,0.701998752213111,4704,44,0.641533027871785,0.523809523809524,0.785714285714286,0.588235294117647,0.00935374149659864,10.7420704488005,0.54728,0.45039
1,62,2,0.49,0.714408678232887,5124,49,0.684528476378213,0.583333333333333,0.80327868852459,0.638297872340426,0.00956284153005465,11.7314147451311,0.54602,0.45401
1,63,5,0.462,0.670370011282361,4536,45,0.668153104781061,0.535714285714286,0.833333333333333,0.611940298507463,0.00992063492063492,10.8401116555304,0.55092,0.44909
1,64,1,0.372,0.499793097830705,3948,37,0.588861488023288,0.44047619047619,0.787234042553192,0.519685039370079,0.00937183383991895,8.80284250947731,0.54518,0.45025
1,65,1,0.351,0.547363827198412,4116,36,0.561131717749695,0.428571428571429,0.73469387755102,0.496124031007752,0.0087463556851312,8.76280044819978,0.54651,0.45531
1,68,4,0.301,0.331449905126418,2016,25,0.556794253984217,0.297619047619048,1.04166666666667,0.433962264150943,0.0124007936507937,5.85247882494452,0.58059,0.41894
1,69,1,0.447,0.700048601916986,4536,44,0.653305258008149,0.523809523809524,0.814814814814815,0.597014925373134,0.00970017636684303,10.7383459093973,0.54521,0.45441
1,7,4,0.646,1.19254419194424,6804,66,0.800132264198639,0.785714285714286,0.814814814814815,0.770186335403727,0.00970017636684303,16.4421917820613,0.58405,0.45273
1,70,1,0.337,0.432391601902342,2772,31,0.588796311708129,0.369047619047619,0.939393939393939,0.47787610619469,0.0111832611832612,7.48209825667072,0.56227,0.46607
