"Source","Target","weight","jaccard","ra","pa","cn","salton","hubprom","hubdep","sorensen","lhn","AdamAdar","cosine_similarity","pearson_similarity"
1,27,3,0.425,1.0694506429452,5852,47,0.614392208098802,0.61038961038961,0.618421052631579,0.577181208053691,0.00803144224196856,12.3744525851268,0.69118,0.60323
1,28,4,0.365,0.740814021898968,4312,37,0.563459036082685,0.480519480519481,0.660714285714286,0.511627906976744,0.00858070500927644,9.52661745732417,0.69413,0.60412
1,29,3,0.261,0.48230612739504,3157,26,0.46273895025009,0.337662337662338,0.634146341463415,0.385964912280702,0.00823566677225214,6.68320433711904,0.66728,0.58565
1,3,22,0.435,1.19340033984234,6930,52,0.624649974135588,0.577777777777778,0.675324675324675,0.588957055214724,0.0075036075036075,13.7078599125725,0.99521,0.99205
1,30,3,0.213,0.384570951941877,2541,21,0.416597790450531,0.272727272727273,0.636363636363636,0.320754716981132,0.00826446280991736,5.44481458476944,0.65687,0.57919
1,31,3,0.265,0.486928585443702,4158,29,0.449734035025928,0.376623376623377,0.537037037037037,0.393700787401575,0.00697450697450697,7.2425013996304,0.64569,0.57756
1,32,1,0.287,0.612237967410495,3542,29,0.487274539214713,0.376623376623377,0.630434782608696,0.420168067226891,0.00818746470920384,7.5495887107762,0.65493,0.58575
1,33,2,0.212,0.30205034226243,1540,17,0.433200112721982,0.220779220779221,0.85,0.315789473684211,0.011038961038961,4.23786742469163,0.648,0.57942
1,36,1,0.291,0.667156922768726,5159,34,0.473365010356339,0.441558441558442,0.507462686567164,0.428571428571429,0.00659042450087226,8.70346399703716,0.65032,0.57554
1,37,1,0.446,1.14016046998679,5467,47,0.635657712927634,0.61038961038961,0.661971830985915,0.597222222222222,0.00859703676605085,12.535069945701,0.70808,0.60827
1,38,2,0.34,0.695400910062409,3773,32,0.520962635244059,0.415584415584416,0.653061224489796,0.483870967741936,0.00848131460376358,8.30651863779159,0.65656,0.58742
1,4,3,0.271,0.429075551098011,2541,25,0.495949750536346,0.324675324675325,0.757575757575758,0.39622641509434,0.00983864620228257,6.33478235314407,0.71319,0.64092
1,42,1,0.266,0.571734783566905,3388,27,0.463865489602233,0.350649350649351,0.613636363636364,0.393162393162393,0.00796930342384888,7.10664371498613,0.65156,0.57648
1,46,8,0.213,0.404820245882549,3003,22,0.401462527730997,0.285714285714286,0.564102564102564,0.321428571428571,0.00732600732600733,5.66527525147789,0.63036,0.56425
1,49,1,0.27,0.414925037432349,2926,26,0.480658013320248,0.337662337662338,0.684210526315789,0.396396396396396,0.00888585099111415,6.48166864282948,0.65036,0.58275
1,5,4,0.34,0.833695859214202,3927,34,0.54256086697466,0.441558441558442,0.666666666666667,0.483870967741936,0.00865800865800866,9.07255856973322,0.6753,0.60577
1,50,1,0.261,0.481318523062527,3157,26,0.46273895025009,0.337662337662338,0.634146341463415,0.385964912280702,0.00823566677225214,6.68188840993189,0.64935,0.58095
1,54,1,0.186,0.374230348821582,2926,18,0.332763239990941,0.233766233766234,0.473684210526316,0.283185840707965,0.00615174299384826,4.65733240289255,0.63967,0.56793
1,55,1,0.235,0.40875902142148,3542,25,0.420064257943718,0.324675324675325,0.543478260869565,0.352941176470588,0.00705815923207228,6.2371369021413,0.63055,0.56458
1,56,1,0.233,0.365374883386006,2772,23,0.436848876428612,0.298701298701299,0.638888888888889,0.348623853211009,0.0082972582972583,5.76985077823488,0.64541,0.57716
